call,feed,cat,cat2,key,feedurl,,origurl
wire.huffpo,Religion,Lifestyle,NULL,"HuffPo, Lifestyle, Religion",get_huffpo_religion.php,,http://www.huffingtonpost.com/feeds/verticals/religion/index.xml
wire.huffpo,Science,Science,NULL,"HuffPo, Science",get_huffpo_science.php,,http://www.huffingtonpost.com/feeds/verticals/science/index.xml
wire.huffpo,Small Business,Business,NULL,"HuffPo, Business, Small-Business",get_huffpo_smallbiz.php,,http://www.huffingtonpost.com/feeds/verticals/small-business/index.xml
wire.huffpo,Sports,Sports,NULL,"HuffPo, Sports",get_huffpo_sports.php,,http://www.huffingtonpost.com/feeds/verticals/sports/index.xml
wire.huffpo,Taste,Food,Lifestyle,"HuffPo, Food, Taste",get_huffpo_taste.php,,http://www.huffingtonpost.com/feeds/verticals/taste/index.xml
wire.huffpo,Technology,Tech,NULL,"HuffPo, Technology",get_huffpo_tech.php,,http://www.huffingtonpost.com/feeds/verticals/technology/index.xml
wire.huffpo,Travel,Travel,NULL,"HuffPo, Travel",get_huffpo_travel.php,,http://www.huffingtonpost.com/feeds/verticals/travel/index.xml
wire.huffpo,TV,Entertainment,NULL,"HuffPo, Entertainment, TV",get_huffpo_tv.php,,http://www.huffingtonpost.com/feeds/verticals/tv/index.xml
wire.huffpo,Weddings,Lifestyle,NULL,"HuffPo, Lifestyle, Weddings",get_huffpo_weddings.php,,http://www.huffingtonpost.com/feeds/verticals/weddings/index.xml
wire.huffpo,Weird News,Weird News,NULL,"HuffPo, Weird-News, Weird News",get_huffpo_weirdnews.php,,http://www.huffingtonpost.com/feeds/verticals/weird-news/index.xml
wire.huffpo,Women,Lifestyle,NULL,"HuffPo, Lifestyle, Women",get_huffpo_women.php,,http://www.huffingtonpost.com/feeds/verticals/women/index.xml
wire.huffpo,World,World News,NULL,"HuffPo, World News, World",get_huffpo_world.php,,http://www.huffingtonpost.com/feeds/verticals/world/index.xml
wire.newrepublic,News,General News,NULL,"New Republic, General News",get_newrepublic.php,,http://www.newrepublic.com/rss.xml
wire.nydaily,Gossip,Entertainment,NULL,"NYDaily, Entertainment, Gossip, Gossip-Confidential",get_dailynews_moregossip.php,,http://www.nydailynews.com/entertainment/gossip/confidential/index_rss.xml
wire.nydaily,Entertainment,Entertainment,NULL,"NYDaily, Entertainment",get_dailynews_entertainment.php,,http://www.nydailynews.com/entertainment/index_rss.xml
wire.nydaily,TV & Movies,Entertainment,NULL,"NYDaily, Entertainment, tv-movies, TV, Movies",get_dailynews_tv-movies.php,,http://www.nydailynews.com/entertainment/tv-movies/index_rss.xml
wire.nydaily,Gossip,Entertainment,NULL,"NYDaily, Entertainment, Gossip",get_dailynews_gossip.php,,http://www.nydailynews.com/gossip/index_rss.xml
wire.nydaily,Eats,Food,Lifestyle,"NYDaily, Lifestyle, Food, Eats",get_dailynews_eats.php,,http://www.nydailynews.com/life-style/eats/index_rss.xml
wire.nydaily,Health,Health,Lifestyle,"NYDaily, Health, Lifestyle",get_dailynews_health.php,,http://www.nydailynews.com/lifestyle/health/index_rss.xml
wire.nydaily,Bronx,Local News,NULL,"NYDaily, Local News, Bronx",get_dailynews_bronx.php,,http://www.nydailynews.com/new-york/bronx/index_rss.xml
wire.nydaily,Brooklyn,Local News,NULL,"NYDaily, Local News, Brooklyn",get_dailynews_brooklyn.php,,http://www.nydailynews.com/new-york/brooklyn/index_rss.xml
wire.nydaily,Queens,Local News,NULL,"NYDaily, Local News, Queens",get_dailynews_queens.php,,http://www.nydailynews.com/new-york/queens/index_rss.xml
wire.nydaily,Uptown,Local News,NULL,"NYDaily, Local News, Harlem, Uptown",get_dailynews_uptown.php,,http://www.nydailynews.com/new-york/uptown/index_rss.xml
wire.nydaily,Crime,General News,NULL,"NYDaily, General News, Crime",get_dailynews_crime.php,,http://www.nydailynews.com/news/crime/index_rss.xml
wire.nydaily,National News,General News,NULL,"NYDaily, General News, National",get_dailynews_national.php,,http://www.nydailynews.com/news/national/index_rss.xml
wire.nydaily,Politics,Politics,NULL,"NYDaily, Politics",get_dailynews_politics.php,,http://www.nydailynews.com/news/politics/index_rss.xml
wire.nydaily,Baseball,Sports,NULL,"NYDaily, Sports, Baseball",get_dailynews_baseball.php,,http://www.nydailynews.com/sports/baseball/index_rss.xml
wire.nydaily,The Yankees,Sports,Local News,"NYDaily, Local News, Sports, Baseball, Yankess",get_dailynews_yanks.php,,http://www.nydailynews.com/sports/baseball/yankees/index_rss.xml
wire.nydaily,Basketball,Sports,NULL,"NYDaily, Sports, Basketball",get_dailynews_basketball.php,,http://www.nydailynews.com/sports/basketball/index_rss.xml
wire.nydaily,The Mets,Sports,Local News,"NYDaily, Local News, Sports, Baseball, Mets",get_dailiynews_mets.php,,http://www.nydailynews.com/sports/baseball/mets/index_rss.xml
wire.nydaily,The Knicks,Sports,Local News,"NYDaily, Local News, Sports, Basketball, Knicks",get_dailynews_knicks.php,,http://www.nydailynews.com/sports/basketball/knicks/index_rss.xml
wire.huffpo,Style,ArtsCulture,NULL,"HuffPo, Arts & Culture, Style",get_huffpo_style.php,,http://www.huffingtonpost.com/feeds/verticals/style/index.xml
wire.reuters,Domestic News,General News,NULL,"Reuters, General News, domesticNews, domestic",get_reuters_domestic.php,,http://feeds.reuters.com/Reuters/domesticNews
wire.reuters,Business Travel,Business,Travel,"Reuters, Business, Travel, ReutersBusinessTravel",get_reuters_businessTravel.php,,http://feeds.reuters.com/ReutersBusinessTravel
wire.huffpo,Entertainment,Entertainment,NULL,"HuffPo, Entertainment",get_huffpo_entertainment.php,,http://www.huffingtonpost.com/feeds/verticals/entertainment/index.xml
wire.huffpo,Media,Media,NULL,"HuffPo, Media",get_huffpo_media.php,,http://www.huffingtonpost.com/feeds/verticals/media/index.xml
wire.huffpo,Parents,Lifestyle,NULL,"HuffPo, Lifestyle, Parents, Parenting",get_huffpo_parents.php,,http://www.huffingtonpost.com/feeds/verticals/parents/index.xml
