Sector,INDIA,CHINA,CANADA,SOUTH KOREA,MEXICO,OTHER COUNTRIES
IT,16562,802,666,159,151,2577
Advanced Mfg,3945,674,516,405,266,1837
Other,2752,401,301,847,163,2289
Education Services,574,402,313,342,98,2099
Finance,2063,455,201,128,56,1120
Health Care,1011,48,215,169,22,1692
Aerospace,839,112,129,44,48,588
Retail,898,81,90,142,28,429
Hospitality,129,41,9,125,105,300
Construction,108,19,15,47,58,306
Automotive,153,20,47,62,36,129
Energy,242,46,61,8,12,170
Transportation,169,14,16,40,40,177
Biotechnology,95,29,18,4,4,52
Agribusiness,10,38,0,54,59,48
Geospatial,16,14,2,1,1,26
Homeland Security,6,4,1,3,0,10
