Sector,INDIA,CHINA,CANADA,SOUTH KOREA,MEXICO,OTHER COUNTRIES
IT,11871,438,321,128,74,1546
Advanced Mfg,2741,462,311,254,148,1195
Other,1763,265,171,356,114,1196
Education Services,213,192,173,115,34,580
Finance,1367,254,105,64,35,605
Health Care,662,28,103,70,14,873
Aerospace,488,65,76,23,34,394
Retail,667,84,60,69,23,290
Hospitality,93,33,5,51,81,162
Construction,36,4,10,12,42,183
Automotive,84,12,30,43,22,94
Energy,115,23,36,4,12,103
Transportation,91,13,9,28,6,82
Biotechnology,49,13,20,2,3,39
Agribusiness,3,46,2,69,15,38
Geospatial,14,16,6,1,2,10
Homeland Security,5,1,1,3,0,5
