Sector,INDIA,CHINA,CANADA,SOUTH KOREA,MEXICO,OTHER COUNTRIES
IT,8186,541,431,91,88,1556
Advanced Mfg,1829,339,204,144,116,821
Other,1322,180,125,319,72,938
Education Services,264,200,172,157,132,1010
Finance,1031,216,90,55,21,480
Health Care,377,13,84,59,12,651
Aerospace,338,55,67,22,34,349
Retail,471,59,50,60,7,186
Hospitality,41,16,6,32,31,102
Construction,48,7,6,21,26,109
Automotive,65,13,24,39,15,70
Energy,89,16,24,4,6,62
Transportation,68,7,10,11,76,938
Biotechnology,57,13,9,2,2,34
Agribusiness,2,20,1,49,14,25
Geospatial,5,13,1,0,0,7
Homeland Security,4,1,2,1,0,9
