Sector,INDIA,CHINA,CANADA,SOUTH KOREA,MEXICO,OTHER COUNTRIES
IT,55593,3283,3004,744,630,11454
Advanced Mfg,12647,2847,2524,1801,1332,8679
Other,8009,1771,1625,4201,1271,12119
Education Services,2203,1902,1609,1550,749,9770
Finance,6715,1905,1399,601,262,5266
Health Care,2949,205,594,764,131,5374
Aerospace,2618,549,579,215,204,2866
Retail,2857,353,391,783,223,2372
Hospitality,640,356,160,755,1106,1918
Construction,340,108,101,249,791,2498
Automotive,376,86,145,325,190,818
Energy,662,184,205,28,62,839
Transportation,471,98,88,194,179,1747
Biotechnology,279,135,137,27,14,291
Agribusiness,54,150,82,286,510,292
Geospatial,76,82,45,7,8,89
Homeland Security,28,8,13,14,4,70
